iter	RMSE
0	79.75536954
1	69.39860002
2	60.09624343
3	52.10021273
4	45.16425555
5	39.52429367
6	34.32270055
7	29.90465304
8	26.49972043
9	22.9769118
10	20.08431377
11	17.52236422
12	15.37523521
13	13.56176872
14	11.99152275
15	10.63505951
16	9.453949892
17	8.542400681
18	7.777532463
19	7.10484468
20	6.549550668
21	6.095754441
22	5.714447165
23	5.390304215
24	5.134952562
25	4.929956294
26	4.748326681
27	4.604165283
28	4.494845975
29	4.427739113
30	4.339549689
31	4.268915139
32	4.1993293
33	4.125770628
34	4.084452442
35	4.052383675
36	4.025180581
37	3.98767879
38	3.941729908
39	3.913599484
40	3.897431439
41	3.858317437
42	3.828587049
43	3.796518653
44	3.766531693
45	3.73983368
46	3.728047792
47	3.690562745
48	3.670702291
49	3.62964869
50	3.571319971
51	3.54400609
52	3.531794734
53	3.499602448
54	3.460558364
55	3.431381837
56	3.417001683
57	3.398286622
58	3.343862857
59	3.321073631
60	3.305379467
61	3.28540393
62	3.26521462
63	3.241310121
64	3.224125012
65	3.199234845
66	3.175060975
67	3.161867944
68	3.150225542
69	3.120085291
70	3.107889034
71	3.096147292
72	3.074687378
73	3.053275136
74	3.031104214
75	3.020184819
76	3.005428273
77	2.96244715
78	2.946894221
79	2.936278435
80	2.923363825
81	2.889631512
82	2.879468156
83	2.864520415
84	2.857054098
85	2.846880872
86	2.837680572
87	2.817684672
88	2.808679852
89	2.802323754
90	2.770885249
91	2.76562981
92	2.754124701
93	2.741925774
94	2.710591019
95	2.706678656
96	2.695901387
97	2.684148822
98	2.662071151
99	2.650760995
100	2.630414232
101	2.628119687
102	2.60617832
103	2.602637086
104	2.595714182
105	2.578056495
106	2.574729046
107	2.560228499
108	2.552894522
109	2.547082168
110	2.543517485
111	2.53522964
112	2.525620432
113	2.510695968
114	2.504854428
115	2.481407075
116	2.467570378
117	2.462934691
118	2.449270168
119	2.435454005
120	2.429140172
121	2.421105081
122	2.409663481
123	2.40283119
124	2.392154194
125	2.388076242
126	2.37750413
127	2.361680637
128	2.342704897
129	2.322895612
130	2.314743529
131	2.304697345
132	2.292552867
133	2.278216068
134	2.273265973
135	2.267247595
136	2.257338399
137	2.248450683
138	2.237901505
139	2.228766921
140	2.217400688
141	2.205532062
142	2.198998932
143	2.191564184
144	2.183425755
145	2.175605081
146	2.170066958
147	2.163020926
148	2.152352475
149	2.14381578
150	2.137553195
151	2.132579626
152	2.127538904
153	2.121975363
154	2.120514132
155	2.111728173
156	2.102994957
157	2.096615619
158	2.092750728
159	2.087159449
160	2.081195493
161	2.075967598
162	2.071618186
163	2.067967986
164	2.062101788
165	2.059613086
166	2.053610329
167	2.047962741
168	2.04359922
169	2.03339794
170	2.011874021
171	2.004922712
172	1.994133342
173	1.990278035
174	1.98446226
175	1.977791989
176	1.969505526
177	1.966397637
178	1.959930275
179	1.948771989
180	1.947775175
181	1.945312834
182	1.938246261
183	1.934361212
184	1.931893123
185	1.916382032
186	1.915408884
187	1.910082415
188	1.906945689
189	1.905661404
190	1.897569316
191	1.896464567
192	1.886055344
193	1.88338056
194	1.876156917
195	1.870952922
196	1.868903663
197	1.86143571
198	1.852984741
199	1.847191813
