iter	Passed	Remaining
0	5	1113
1	11	1093
2	16	1057
3	21	1040
4	26	1018
5	30	975
6	34	951
7	37	894
8	42	898
9	46	882
10	50	871
11	56	882
12	60	866
13	64	861
14	69	861
15	74	857
16	78	849
17	83	844
18	87	829
19	91	819
20	94	805
21	100	812
22	104	800
23	108	792
24	111	782
25	115	772
26	119	764
27	122	755
28	127	749
29	130	740
30	135	736
31	142	749
32	146	742
33	150	736
34	155	731
35	158	724
36	162	716
37	166	710
38	170	704
39	174	698
40	178	691
41	182	685
42	185	679
43	189	672
44	193	665
45	196	658
46	200	653
47	204	646
48	207	639
49	210	632
50	214	627
51	217	619
52	221	613
53	225	608
54	230	607
55	233	601
56	237	596
57	241	591
58	245	586
59	249	581
60	253	576
61	256	571
62	260	566
63	264	562
64	268	557
65	272	553
66	276	548
67	280	544
68	284	540
69	289	536
70	293	532
71	297	529
72	302	525
73	305	520
74	310	517
75	315	514
76	319	509
77	323	505
78	327	502
79	331	497
80	335	493
81	340	490
82	345	486
83	349	482
84	353	478
85	358	475
86	363	471
87	367	467
88	372	464
89	376	460
90	380	456
91	385	452
92	389	448
93	393	444
94	397	439
95	401	435
96	405	430
97	409	426
98	414	422
99	418	418
100	422	414
101	427	410
102	431	406
103	434	401
104	438	396
105	442	392
106	446	388
107	450	383
108	454	379
109	458	375
110	463	371
111	467	367
112	471	363
113	475	358
114	479	354
115	484	350
116	489	347
117	493	342
118	497	338
119	501	334
120	505	329
121	509	325
122	513	321
123	517	317
124	521	312
125	525	308
126	530	304
127	534	300
128	539	296
129	543	292
130	547	288
131	551	284
132	555	280
133	559	275
134	563	271
135	567	267
136	572	263
137	576	258
138	580	254
139	585	250
140	589	246
141	593	242
142	598	238
143	601	234
144	606	229
145	610	225
146	614	221
147	618	217
148	623	213
149	626	208
150	630	204
151	634	200
152	638	196
153	644	192
154	648	188
155	652	183
156	655	179
157	659	175
158	663	171
159	667	166
160	672	162
161	676	158
162	679	154
163	684	150
164	688	146
165	694	142
166	699	138
167	702	133
168	708	130
169	714	126
170	719	122
171	724	117
172	730	114
173	737	110
174	745	106
175	750	102
176	756	98
177	760	94
178	765	89
179	769	85
180	773	81
181	777	76
182	781	72
183	786	68
184	790	64
185	794	59
186	799	55
187	803	51
188	807	47
189	811	42
190	817	38
191	822	34
192	826	29
193	831	25
194	836	21
195	839	17
196	843	12
197	847	8
198	851	4
199	855	0
